skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Caramel,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Deep Tan,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Warm Brown,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Ebony,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Porcelain,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Light,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Beige,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Olive,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Deep Dark,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Fair,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Medium,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Honey,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Caramel,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Deep Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Warm Brown,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Ebony,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Porcelain,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Light,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Beige,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Olive,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Deep Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Fair,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Tan,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Medium,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Dark,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Honey,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Caramel,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Deep Tan,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Warm Brown,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Ebony,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Porcelain,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Light,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Beige,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Olive,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Deep Dark,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Fair,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Tan,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Medium,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Dark,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Honey,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Caramel,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Deep Tan,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Warm Brown,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Ebony,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Porcelain,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Light,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Beige,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Olive,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Deep Dark,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Fair,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Tan,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Medium,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Dark,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Honey,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Caramel,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Deep Tan,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Warm Brown,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Ebony,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Porcelain,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Light,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Beige,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Olive,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Deep Dark,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Fair,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Tan,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Medium,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Dark,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Honey,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Caramel,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Deep Tan,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Warm Brown,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Ebony,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Porcelain,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Light,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Beige,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Olive,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Deep Dark,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Fair,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Medium,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Honey,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Caramel,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Deep Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Warm Brown,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Ebony,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Porcelain,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Light,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Beige,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Olive,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Deep Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Fair,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Tan,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Medium,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Dark,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Honey,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Caramel,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Deep Tan,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Warm Brown,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Ebony,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Porcelain,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Light,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Beige,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Olive,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Deep Dark,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Fair,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Tan,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Medium,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Dark,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Honey,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Caramel,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Deep Tan,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Warm Brown,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Ebony,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Porcelain,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Light,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Beige,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Olive,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Deep Dark,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Fair,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Tan,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Medium,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Dark,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Honey,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Caramel,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Deep Tan,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Warm Brown,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Ebony,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Porcelain,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Light,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Beige,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Olive,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Deep Dark,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Fair,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Tan,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Medium,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Dark,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Honey,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Caramel,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Deep Tan,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Warm Brown,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
Ebony,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for summer weather,perfect for wedding events.,Earthy
Porcelain,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for winter weather,perfect for formal traditional events.,Vibrant
Light,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for spring weather,perfect for religious ceremony events.,Muted
Beige,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for fall weather,perfect for casual traditional events.,Deep
Olive,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for summer weather,perfect for festive events.,Royal
Deep Dark,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for winter weather,perfect for wedding events.,Earthy
Fair,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for spring weather,perfect for formal traditional events.,Vibrant
Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for fall weather,perfect for religious ceremony events.,Muted
Medium,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for summer weather,perfect for casual traditional events.,Deep
Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for winter weather,perfect for festive events.,Royal
Honey,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for spring weather,perfect for wedding events.,Earthy
Caramel,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for fall weather,perfect for formal traditional events.,Vibrant
Deep Tan,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for summer weather,perfect for religious ceremony events.,Muted
Warm Brown,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for winter weather,perfect for casual traditional events.,Deep
Ebony,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for spring weather,perfect for festive events.,Royal
Porcelain,Rust Orange Silk Kurta + Beige Pajama,"Rust Orange, Beige, Olive Green, Chocolate Brown",Silk is comfortable for fall weather,perfect for wedding events.,Earthy
Light,Crimson Red Khadi Kurta + Bright Yellow Pajama,"Crimson Red, Bright Yellow, Turquoise, Peach",Khadi is comfortable for summer weather,perfect for formal traditional events.,Vibrant
Beige,Ivory Linen Kurta + Dusty Pink Pajama,"Ivory, Dusty Pink, Slate Gray, Seafoam Green",Linen is comfortable for winter weather,perfect for religious ceremony events.,Muted
Olive,Navy Blue Velvet Kurta + Burgundy Pajama,"Navy Blue, Burgundy, Dark Green, Plum",Velvet is comfortable for spring weather,perfect for casual traditional events.,Deep
Deep Dark,Royal Blue Cotton Kurta + Gold Pajama,"Royal Blue, Gold, Maroon, Emerald Green",Cotton is comfortable for fall weather,perfect for festive events.,Royal
